"";"nutrient";"mgL";"belowLimit"
"881";"Mg";9,4;FALSE
"882";"SO4";1,4;FALSE
"883";"Fe";0,015;FALSE
"884";"Zn";NA;NA
"885";"Cu";0,01;TRUE
"886";"Mn";0,008;TRUE
"887";"B";NA;NA
"888";"Mo";NA;NA
"889";"Ni";0,002;TRUE
"890";"Na";15,8;FALSE
"891";"Cl";15;FALSE
"892";"Al";0,02;TRUE
"893";"TOC";2,3;FALSE
"894";"NH4";0,068;FALSE
"895";"NO2";0,04;FALSE
"896";"NO3";2,31;FALSE
"897";"PO4";0,03;TRUE
"898";"K";4,81;FALSE
"899";"Ca";105;FALSE
"900";"Mg";15,1;FALSE
"901";"SO4";2,4;FALSE
"902";"Fe";0,01;TRUE
"903";"Zn";NA;NA
"904";"Cu";0,01;TRUE
"905";"Mn";0,002;TRUE
"906";"B";NA;NA
"907";"Mo";NA;NA
"908";"Ni";0,002;TRUE
"909";"Na";62,6;FALSE
"910";"Cl";117;FALSE
"911";"Al";0,02;TRUE
"912";"TOC";2,7;FALSE
"913";"NH4";0,04;TRUE
"914";"NO2";0,03;TRUE
"915";"NO3";0,9;FALSE
"916";"PO4";NA;NA
"917";"K";2;FALSE
"918";"Ca";57;FALSE
"919";"Mg";4,4;FALSE
"920";"SO4";21;FALSE
"921";"Fe";0,01;TRUE
"922";"Zn";NA;NA
"923";"Cu";0,005;TRUE
"924";"Mn";0,01;TRUE
"925";"B";0,1;TRUE
"926";"Mo";NA;NA
"927";"Ni";0,001;TRUE
"928";"Na";21;FALSE
"929";"Cl";26;FALSE
"930";"Al";0,1;TRUE
"931";"TOC";1;TRUE
"932";"NH4";0,04;TRUE
"933";"NO2";0,03;TRUE
"934";"NO3";0,88;FALSE
"935";"PO4";NA;NA
"936";"K";3,8;FALSE
"937";"Ca";43;FALSE
"938";"Mg";6,5;FALSE
"939";"SO4";10;FALSE
"940";"Fe";0,019;FALSE
"941";"Zn";NA;NA
"942";"Cu";0,005;TRUE
"943";"Mn";0,01;TRUE
"944";"B";0,077;FALSE
"945";"Mo";NA;NA
"946";"Ni";0,001;TRUE
"947";"Na";12;FALSE
"948";"Cl";20;FALSE
"949";"Al";0,01;TRUE
"950";"TOC";1;TRUE
"951";"NH4";0,05;TRUE
"952";"NO2";0,01;TRUE
"953";"NO3";12,1;FALSE
"954";"PO4";0,01;TRUE
"955";"K";1,5;FALSE
"956";"Ca";35,9;FALSE
"957";"Mg";2,91;FALSE
"958";"SO4";26,9;FALSE
"959";"Fe";0,02;TRUE
"960";"Zn";0,01;TRUE
"961";"Cu";0,001;TRUE
"962";"Mn";0,005;TRUE
"963";"B";0,011;FALSE
"964";"Mo";NA;NA
"965";"Ni";0,002;TRUE
"966";"Na";8,6;FALSE
"967";"Cl";14,4;FALSE
"968";"Al";0,05;TRUE
"969";"TOC";1,8;FALSE
"970";"NH4";0,05;TRUE
"971";"NO2";0,01;TRUE
"972";"NO3";13,6;FALSE
"973";"PO4";0,088;FALSE
"974";"K";5,26;FALSE
"975";"Ca";49,3;FALSE
"976";"Mg";10,6;FALSE
"977";"SO4";73,6;FALSE
"978";"Fe";0,02;TRUE
"979";"Zn";0,01;TRUE
"980";"Cu";0,002;TRUE
"981";"Mn";0,005;TRUE
"982";"B";0,055;FALSE
"983";"Mo";NA;NA
"984";"Ni";0,002;TRUE
"985";"Na";29,2;FALSE
"986";"Cl";40,4;FALSE
"987";"Al";0,05;TRUE
"988";"TOC";1,2;FALSE
"989";"NH4";0,05;TRUE
"990";"NO2";0,01;TRUE
"991";"NO3";14,6;FALSE
"992";"PO4";0,01;TRUE
"993";"K";5,49;FALSE
"994";"Ca";62,4;FALSE
"995";"Mg";13,1;FALSE
"996";"SO4";94,4;FALSE
"997";"Fe";0,02;TRUE
"998";"Zn";0,01;TRUE
"999";"Cu";0,002;TRUE
"1000";"Mn";0,005;TRUE
"1001";"B";0,084;FALSE
"1002";"Mo";NA;NA
"1003";"Ni";0,002;TRUE
"1004";"Na";32,6;FALSE
"1005";"Cl";49,7;FALSE
"1006";"Al";0,05;TRUE
"1007";"TOC";1,6;FALSE
"1008";"NH4";0,01;TRUE
"1009";"NO2";0,005;TRUE
"1010";"NO3";4;FALSE
"1011";"PO4";0,01;TRUE
"1012";"K";1,4;FALSE
"1013";"Ca";50;FALSE
"1014";"Mg";8,5;FALSE
"1015";"SO4";34;FALSE
"1016";"Fe";0,0056;FALSE
"1017";"Zn";NA;NA
"1018";"Cu";0,00042;FALSE
"1019";"Mn";5e-04;TRUE
"1020";"B";0,011;FALSE
"1021";"Mo";0,001;FALSE
"1022";"Ni";5e-04;TRUE
"1023";"Na";5,6;FALSE
"1024";"Cl";7,7;FALSE
"1025";"Al";0,01;TRUE
"1026";"TOC";0,93;FALSE
"1027";"NH4";0,05;TRUE
"1028";"NO2";0,01;TRUE
"1029";"NO3";19,4;FALSE
"1030";"PO4";NA;NA
"1031";"K";2,2;FALSE
"1032";"Ca";76,3;FALSE
"1033";"Mg";11,5;FALSE
"1034";"SO4";27,1;FALSE
"1035";"Fe";0,02;TRUE
"1036";"Zn";NA;NA
"1037";"Cu";0,005;TRUE
"1038";"Mn";0,005;TRUE
"1039";"B";0,05;TRUE
"1040";"Mo";NA;NA
"1041";"Ni";0,002;TRUE
"1042";"Na";10,8;FALSE
"1043";"Cl";28,3;FALSE
"1044";"Al";0,005;TRUE
"1045";"TOC";0,78;FALSE
"1046";"NH4";0,05;TRUE
"1047";"NO2";0,01;TRUE
"1048";"NO3";4,1;FALSE
"1049";"PO4";NA;NA
"1050";"K";1,4;FALSE
"1051";"Ca";50,9;FALSE
"1052";"Mg";8,5;FALSE
"1053";"SO4";34,8;FALSE
"1054";"Fe";0,02;TRUE
"1055";"Zn";NA;NA
"1056";"Cu";0,005;TRUE
"1057";"Mn";0,005;TRUE
"1058";"B";0,05;TRUE
"1059";"Mo";NA;NA
"1060";"Ni";0,002;TRUE
"1061";"Na";5,7;FALSE
"1062";"Cl";7,9;FALSE
"1063";"Al";0,005;TRUE
"1064";"TOC";0,92;FALSE
"1065";"NH4";NA;NA
"1066";"NO2";0,01;TRUE
"1067";"NO3";2,054;FALSE
"1068";"PO4";NA;NA
"1069";"K";NA;NA
"1070";"Ca";NA;NA
"1071";"Mg";NA;NA
"1072";"SO4";NA;NA
"1073";"Fe";NA;NA
"1074";"Zn";NA;NA
"1075";"Cu";NA;NA
"1076";"Mn";NA;NA
"1077";"B";0,01;TRUE
"1078";"Mo";NA;NA
"1079";"Ni";NA;NA
"1080";"Na";16,9;FALSE
"1081";"Cl";NA;NA
"1082";"Al";NA;NA
"1083";"TOC";NA;NA
"1084";"NH4";NA;NA
"1085";"NO2";0,01;TRUE
"1086";"NO3";1,23766666666667;FALSE
"1087";"PO4";NA;NA
"1088";"K";NA;NA
"1089";"Ca";NA;NA
"1090";"Mg";NA;NA
"1091";"SO4";NA;NA
"1092";"Fe";NA;NA
"1093";"Zn";NA;NA
"1094";"Cu";NA;NA
"1095";"Mn";NA;NA
"1096";"B";0,02;FALSE
"1097";"Mo";NA;NA
"1098";"Ni";NA;NA
"1099";"Na";35,5;FALSE
"1100";"Cl";NA;NA
"1101";"Al";NA;NA
"1102";"TOC";NA;NA
"1103";"NH4";NA;NA
"1104";"NO2";0,01;TRUE
"1105";"NO3";3,0175;FALSE
"1106";"PO4";NA;NA
"1107";"K";NA;NA
"1108";"Ca";NA;NA
"1109";"Mg";NA;NA
"1110";"SO4";NA;NA
"1111";"Fe";NA;NA
"1112";"Zn";NA;NA
"1113";"Cu";NA;NA
"1114";"Mn";NA;NA
"1115";"B";0,0478;FALSE
"1116";"Mo";NA;NA
"1117";"Ni";NA;NA
"1118";"Na";228;FALSE
"1119";"Cl";NA;NA
"1120";"Al";NA;NA
"1121";"TOC";NA;NA
"1122";"NH4";NA;NA
"1123";"NO2";0,25;TRUE
"1124";"NO3";0,367;FALSE
"1125";"PO4";0,06;TRUE
"1126";"K";1,37;FALSE
"1127";"Ca";34,2;FALSE
"1128";"Mg";11,8;FALSE
"1129";"SO4";23;FALSE
"1130";"Fe";0,0414;FALSE
"1131";"Zn";0,00195;FALSE
"1132";"Cu";0,00272;FALSE
"1133";"Mn";0,001;TRUE
"1134";"B";0,0244;FALSE
"1135";"Mo";0,001;TRUE
"1136";"Ni";0,00225;FALSE
"1137";"Na";8,68;FALSE
"1138";"Cl";14,2;FALSE
"1139";"Al";0,0454;FALSE
"1140";"TOC";1,94;FALSE
"1141";"NH4";NA;NA
"1142";"NO2";0,25;TRUE
"1143";"NO3";0,356;FALSE
"1144";"PO4";0,596;FALSE
"1145";"K";1,45;FALSE
"1146";"Ca";35,8;FALSE
"1147";"Mg";12,4;FALSE
"1148";"SO4";26,7;FALSE
"1149";"Fe";0,001;TRUE
"1150";"Zn";0,00274;FALSE
"1151";"Cu";0,001;TRUE
"1152";"Mn";0,001;TRUE
"1153";"B";0,0247;FALSE
"1154";"Mo";0,001;TRUE
"1155";"Ni";0,001;TRUE
"1156";"Na";9,48;FALSE
"1157";"Cl";15,7;FALSE
"1158";"Al";0,0374;FALSE
"1159";"TOC";1,65;FALSE
"1160";"NH4";NA;NA
"1161";"NO2";0,25;TRUE
"1162";"NO3";0,355;FALSE
"1163";"PO4";0,641;FALSE
"1164";"K";1,35;FALSE
"1165";"Ca";33,6;FALSE
"1166";"Mg";11,6;FALSE
"1167";"SO4";26,8;FALSE
"1168";"Fe";0,001;TRUE
"1169";"Zn";0,001;TRUE
"1170";"Cu";0,001;TRUE
"1171";"Mn";0,001;TRUE
"1172";"B";0,0241;FALSE
"1173";"Mo";0,001;TRUE
"1174";"Ni";0,001;TRUE
"1175";"Na";9,07;FALSE
"1176";"Cl";15,8;FALSE
"1177";"Al";0,0409;FALSE
"1178";"TOC";1,61;FALSE
"1179";"NH4";NA;NA
"1180";"NO2";0,25;TRUE
"1181";"NO3";0,389;FALSE
"1182";"PO4";0,651;FALSE
"1183";"K";1,4;FALSE
"1184";"Ca";35;FALSE
"1185";"Mg";12,1;FALSE
"1186";"SO4";27,7;FALSE
"1187";"Fe";0,0188;FALSE
"1188";"Zn";0,00693;FALSE
"1189";"Cu";0,00111;FALSE
"1190";"Mn";0,001;TRUE
"1191";"B";0,0245;FALSE
"1192";"Mo";0,00117;FALSE
"1193";"Ni";0,001;TRUE
"1194";"Na";9,33;FALSE
"1195";"Cl";17,2;FALSE
"1196";"Al";0,0368;FALSE
"1197";"TOC";0,57;FALSE
"1198";"NH4";0,15;TRUE
"1199";"NO2";0,03;TRUE
"1200";"NO3";11,8;FALSE
"1201";"PO4";0,115;FALSE
"1202";"K";14;FALSE
"1203";"Ca";77;FALSE
"1204";"Mg";19;FALSE
"1205";"SO4";126;FALSE
"1206";"Fe";0,015;TRUE
"1207";"Zn";0,1;TRUE
"1208";"Cu";0,015;TRUE
"1209";"Mn";0,015;TRUE
"1210";"B";0,215;FALSE
"1211";"Mo";0,0013;FALSE
"1212";"Ni";0,0064;FALSE
"1213";"Na";108;FALSE
"1214";"Cl";NA;NA
"1215";"Al";0,03;TRUE
"1216";"TOC";1,2;FALSE
