Reference_ID,Treatment_ID,Include,source,condition,days,pH,temp_degC,EC_uScm,NH4-N,NO2-N,NO3-N,PO4-P,species_PO4_molL,species_CO3_molL,species_OH_molL,species_SO4_molL,K,Ca,Mg,S,B,Fe,Mn,Cu,Zn,Mo,Ni,Na,N,Ca_in_CaCO3,Ca_found_greater_CaCO3,CaCO3_diff,CaCO3_prop,Ca_in_CaOH2,Ca_found_greater_CaOH2,CaOH2_diff,CaOH2_prop,Ca_in_Ca3PO42,Ca_found_greater_Ca3PO42,Ca3PO42_diff,Ca3PO42_prop,Ca_in_CaSO4,Ca_found_greater_CaSO4,CaSO4_diff,CaSO4_prop,Mg_in_MgCO3,Mg_found_greater_MgCO3,MgCO3_diff,MgCO3_prop,Mg_in_MgOH2,Mg_found_greater_MgOH2,MgOH2_diff,MgOH2_prop,Mg_in_Mg3PO42,Mg_found_greater_Mg3PO42,Mg3PO42_diff,Mg3PO42_prop,Fe_in_FePO4,Fe_found_greater_FePO4,FePO4_diff,FePO4_prop,Mn_in_MnCO3,Mn_found_greater_MnCO3,MnCO3_diff,MnCO3_prop,Cu_in_Cu3PO42,Cu_found_greater_Cu3PO42,Cu3PO42_diff,Cu3PO42_prop,Zn_in_ZnCO3,Zn_found_greater_ZnCO3,ZnCO3_diff,ZnCO3_prop,Zn_in_ZnOH2,Zn_found_greater_ZnOH2,ZnOH2_diff,ZnOH2_prop,Ni_in_NiCO3,Ni_found_greater_NiCO3,NiCO3_diff,NiCO3_prop,Ni_in_NiOH2,Ni_found_greater_NiOH2,NiOH2_diff,NiOH2_prop,Ni_in_Ni3PO42,Ni_found_greater_Ni3PO42,Ni3PO42_diff,Ni3PO42_prop
Khiari2019,30_6.5,Yes,waterREMIN,aerobic,30,6.5,30,NA,115.7,0,0,NA,NA,3.8359476962480205e-7,3.162277660168379e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008260155636467481,0.008759243519629974,NA,NA,NA,5020000000.000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.779178810677507,NA,NA,NA,5610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.839495679753316e-5,NA,NA,NA,NA,NA,NA,NA,3.806099862696358e-4,NA,NA,NA,0.030000000000000006,NA,NA,NA,0.3701823154129334,NA,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA
Khiari2019,35_6.5,Yes,waterREMIN,aerobic,30,6.5,35,NA,142.9,0,0,NA,NA,3.8359476962480205e-7,3.162277660168379e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010202041836224746,0.008759243519629974,NA,NA,NA,5020000000.000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.779178810677507,NA,NA,NA,5610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.839495679753316e-5,NA,NA,NA,NA,NA,NA,NA,3.806099862696358e-4,NA,NA,NA,0.030000000000000006,NA,NA,NA,0.3701823154129334,NA,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA
Khiari2019,40_6.5,Yes,waterREMIN,aerobic,30,6.5,40,NA,101.8,0,0,NA,NA,3.8359476962480205e-7,3.162277660168379e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007267794674091526,0.008759243519629974,NA,NA,NA,5020000000.000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.779178810677507,NA,NA,NA,5610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.839495679753316e-5,NA,NA,NA,NA,NA,NA,NA,3.806099862696358e-4,NA,NA,NA,0.030000000000000006,NA,NA,NA,0.3701823154129334,NA,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA
Knaus2020,GrowPipe,Yes,waterHYDRO,aerobic,20.5,NA,27.9,NA,2.964,0.012,23.667,3.1020000000000003,NA,NA,NA,NA,0.0015499514041638959,0.0043964269674135435,0.0011026537749434272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001902120368387235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knaus2022,EbbFlow,Yes,waterHYDRO,aerobic,54,5.8,24.1,1303,1.17,0.01,134.34,35,2.4953915422606863e-10,1.5271182837445044e-8,6.309573444801943e-9,NA,0.0012788377922144354,0.006861619841309447,0.0016457519029006377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009675162418790606,0.22002224947246765,FALSE,-0.2131606296311582,0.031186027130261074,126096698861.78052,FALSE,-126096698861.77365,5.4415539052538835e-14,0.005435517114029346,TRUE,0.001426102727280101,1.2623674431268475,NA,NA,NA,NA,446.592780179235,FALSE,-446.59113442733207,3.685128770420636e-6,140916.82880768698,FALSE,-140916.82716193507,1.1678888297625829e-8,0.025561439871834048,FALSE,-0.02391568796893341,0.06438416267442269,3.9713206653822705e-6,NA,NA,NA,0.001466814996483118,NA,NA,NA,1.3100369524169905e-6,NA,NA,NA,0.009560490602077464,NA,NA,NA,0.7535659294528716,NA,NA,NA,9.298559352705478,NA,NA,NA,13.765137644672455,NA,NA,NA,9.130620969320912e-5,NA,NA,NA
Lunda2019,FROV,Yes,waterRAS,aerobic,NA,6.74,NA,NA,0,0,0,2.29,1.4220189940807107e-10,1.158437684465637e-6,5.495408738576248e-8,5.707960854593612e-4,0.0011069619929408153,0.002208942562004092,0.0012680518411849414,5.708047411104179e-4,3.700277520814061e-6,1.7190437818963202e-5,NA,3.1473263462688446e-7,1.5295197308045277e-6,NA,NA,NA,0,0.0029004581299941893,FALSE,-6.915155679900974e-4,0.7615840198350036,1662278229.8426058,FALSE,-1662278229.840397,1.3288645199987053e-12,0.00790793459023224,FALSE,-0.005698992028228148,0.27933242704517863,0.08637059933640696,FALSE,-0.08416165677440288,0.025575167695669535,5.887239418619157,FALSE,-5.885971366777972,2.153898883701864e-4,1857.6455915173342,FALSE,-1857.644323465493,6.826123599546189e-7,0.03718840182047979,FALSE,-0.03592034997929485,0.03409804614100465,6.968964578709087e-6,TRUE,1.0221473240254116e-5,2.46671332947821,1.9336387533294594e-5,NA,NA,NA,1.9059247378251957e-6,FALSE,-1.5911921031983111e-6,0.16513382106893593,1.2603181160093799e-4,FALSE,-1.2450229187013344e-4,0.01213598147464179,0.009933933644477724,FALSE,-0.009932404124746918,1.5396919141439887e-4,0.1225788852557068,NA,NA,NA,0.18145985457245975,NA,NA,NA,1.3283805731607312e-4,NA,NA,NA
Lunda2019,ANAPARTNERS,Yes,waterRAS,aerobic,NA,7.53,NA,NA,0,0,0,1.79,6.8535980576359e-10,4.4042572393197926e-5,3.3884415613920274e-7,6.101045506989366e-4,4.706123075349122e-4,0.002103398373172314,3.670026743468422e-4,6.10106051154086e-4,4.625346901017577e-6,5.909213000268601e-6,NA,1.5736631731344223e-7,1.835423676965433e-6,NA,NA,NA,0,7.62898218115645e-5,TRUE,0.0020271085513607497,27.571153310171546,43722372.2157952,FALSE,-43722372.2136918,4.810805696431169e-11,0.00277153848053934,FALSE,-6.681401073670261e-4,0.7589280783729164,0.08080582245046665,FALSE,-0.07870242407729433,0.026030282340875635,0.1548501740341875,FALSE,-0.15448317135984066,0.00237005012513461,48.86105739653606,FALSE,-48.86069039386172,7.511148835122434e-6,0.013033629135290064,FALSE,-0.012666626460943221,0.028158133896348168,1.4459558200905618e-6,TRUE,4.463257180178039e-6,4.086717531866569,5.085988120770967e-7,NA,NA,NA,6.679802028735866e-7,FALSE,-5.106138855601443e-7,0.23558530123567656,3.3149744001453626e-6,FALSE,-1.4795507231799296e-6,0.5536765764721892,2.6128907698682387e-4,FALSE,-2.5945365330985845e-4,0.007024494472296631,0.0032241531837030237,NA,NA,NA,0.004772880472959317,NA,NA,NA,4.655650389247527e-5,NA,NA,NA
Lunda2019,ROKYTNO,Yes,waterRAS,aerobic,NA,7.64,NA,NA,0,0,0,2.94,1.4501450537973753e-9,7.309247651362207e-5,4.365158322401656e-7,0.0028153408511821694,0.002790424062611898,0.005857577723439293,0.0016938901460604814,0.002815346225826575,3.885291396854764e-5,2.564240307995344e-4,NA,6.452019009851131e-6,6.118078923218111e-5,NA,NA,NA,0,4.596916345246292e-5,TRUE,0.00581160855998683,127.42406612416735,26345334.504538625,FALSE,-26345334.498681046,2.2233833176155658e-10,0.0016816116325143492,TRUE,0.0041759660909249435,3.48331184809957,0.01751120116745324,FALSE,-0.011653623444013946,0.3345046217803913,0.09330645676958248,FALSE,-0.09161256662352199,0.018154050691727507,29.441698520012288,FALSE,-29.440004629866227,5.753371005103867e-5,0.00790806352561144,FALSE,-0.006214173379550958,0.2141978425659539,6.833799125163031e-7,TRUE,2.557406508870181e-4,375.2291018554295,3.0646108968308616e-7,NA,NA,NA,4.0529232674515407e-7,TRUE,6.046726683105977e-6,15.919420586287414,1.9974696023986865e-6,TRUE,5.918331962978242e-5,30.629146575603148,1.5744223807493202e-4,FALSE,-9.626144884275091e-5,0.3885919685863658,0.0019427444078124211,NA,NA,NA,0.0028759448821687583,NA,NA,NA,2.8247833852752715e-5,NA,NA,NA
Monsees2017,Exp2_aerated,Yes,waterREMIN,aerobic,14,7,26,NA,0.01,0,60,9.9,1.118676268012671e-9,3.83594769624802e-6,1e-7,NA,9.591283441608266e-4,NA,0.0026743468422135365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004284286428214464,8.759243519629975e-4,NA,NA,NA,502000000.0000001,NA,NA,NA,0.001999234403783865,NA,NA,NA,NA,NA,NA,NA,1.777917881067751,FALSE,-1.7752435342255375,0.0015042015554775927,561.0000000000001,FALSE,-560.9973256531579,4.767106670612364e-6,0.009401738405003458,FALSE,-0.0067273915627899215,0.2844523775294887,8.858684396340257e-7,NA,NA,NA,5.839495679753317e-6,NA,NA,NA,4.818439332552663e-7,NA,NA,NA,3.8060998626963584e-5,NA,NA,NA,0.0030000000000000005,NA,NA,NA,0.03701823154129335,NA,NA,NA,0.05480000000000001,NA,NA,NA,3.358328414174541e-5,NA,NA,NA
Monsees2017,Exp2_unaerated,Yes,waterREMIN,anaerobic,14,7,26,NA,7.5,0,10,3.3,3.728920893375569e-10,3.83594769624802e-6,1e-7,NA,8.951864545501049e-4,NA,0.0026743468422135365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012493753123438282,8.759243519629975e-4,NA,NA,NA,502000000.0000001,NA,NA,NA,0.0041585751417996366,NA,NA,NA,NA,NA,NA,NA,1.777917881067751,FALSE,-1.7752435342255375,0.0015042015554775927,561.0000000000001,FALSE,-560.9973256531579,4.767106670612364e-6,0.019556403964813507,FALSE,-0.01688205712259997,0.13675043975494192,2.6576053189020776e-6,NA,NA,NA,5.839495679753317e-6,NA,NA,NA,1.002275770799981e-6,NA,NA,NA,3.8060998626963584e-5,NA,NA,NA,0.0030000000000000005,NA,NA,NA,0.03701823154129335,NA,NA,NA,0.05480000000000001,NA,NA,NA,6.985604606820019e-5,NA,NA,NA
