element;g_per_mol
N;14.007
P;30.974
K;39.098
Ca;40.078
Mg;24.305
S;32.06
Fe;55.845
Zn;65.38
Cu;63.546
Mo;95.962
Ni;58.693
Mn;54.938
B;10.81
Na;22.99
Cl;35.45
Al;26.982
H;1.008
Li;6.94
O;15.99
Cr;51.996
Si;28.085
F;18.998
Br;79.904
