Compound,Solubility product
\ce{Ca3(PO4)2},2.07e-33
\ce{Cu3(PO4)2},1.40e-37
\ce{FePO4*2H2O},9.91e-16
\ce{Mg3(PO4)2},1.04e-24
\ce{MnCO3},2.24e-11
\ce{Ni3(PO4)2},4.74e-32
\ce{Zn(OH)2},3.00e-17
