Id;Type;Month;Pond;C14:0;C14:1;C16:0;C18:0;C18:1;LIN;GLA;ALA;SDA;ARA;EPA;DHA;FAME;LCPUFA;SCPUFA;SFA;MUFA;PUFA;BFA;TFA;n3;n6;dw;filter;;;;TL
B61;Insect;August;Stadt;1.057699928;0;6.797854159;2.958734198;7.414484505;4.195731061;0.154848195;1.417522608;0.129326163;0.799485462;1.831964937;0.234484499;32.43;2.999540876;5.897428028;12.02344882;10.9874493;8.896968904;3.164863676;0.458196045;3.666547099;5.230421805;;;;;;
B62;Insect;August;Stadt;1.541507785;0.022907688;14.54565112;3.799604673;9.853932663;7.650193561;0.383629269;3.768218582;0.347095748;2.027449865;5.650977869;0.26733169;60.25;8.196003659;12.14913716;21.96467042;16.58987527;20.34514082;4.51896005;0.606204153;10.12184056;10.22330026;;;;;;
B40;Insect;July;Dach;1.018028711;0.004768029;8.630578207;3.208003145;9.761509053;6.393125709;0.181596508;4.378520246;2.608005047;1.134500213;7.460240045;0.155971532;49.03;8.941427119;13.56124751;14.0003954;11.8833206;22.50267463;3.250199768;0.3993705;14.70598176;7.796692869;;;;;;
B41;Insect;July;Dach;0.993214381;0.013597605;9.51417292;4.125165264;6.551550853;6.173187116;0.167983276;2.181661455;0.091202364;2.426894833;4.589851269;0.04958474;43.75;7.488622885;8.614034212;17.08382251;8.988183465;16.10265709;6.59157071;0.358258828;7.059037074;9.043620018;;;;;;
B42;Insect;July;Dach;1.338201968;0.016302831;18.5972905;5.390943299;11.62492279;17.17761793;0.387624282;7.019582188;1.07152637;1.357474554;5.106818743;0.042448184;74.84;6.634420765;25.65635077;26.69261328;15.01464678;32.29077153;2.777144571;0.41196795;13.31306771;18.97770382;;;;;;
B51;Insect;July;Durn;0.796786412;0.017658156;6.228341537;3.118815575;5.130057229;9.558634111;0.302025135;5.283640546;0.183027128;1.274240293;3.462105081;0;40.85;4.817292112;15.32732692;11.17682223;8.858425414;20.14461903;3.797942681;0.353109911;8.976270019;11.16834901;;;;;;
B37;Insect;July;Eng;0.344228066;0.004957801;4.168056902;2.25183278;4.422920899;4.011051386;0.890433681;2.214803345;0.396010934;0.83835357;3.353696271;0.028652957;25.58;4.413536465;7.512299347;7.739134401;5.391691142;11.92583581;2.619304943;0.321798506;6.12397198;5.801863832;;;;;;
B38;Insect;July;Eng;0.980858182;0.013684395;11.54791462;3.392025326;7.940834553;4.563904767;0.278122148;6.771825316;0.994587631;0.939897414;4.750838544;0.051782936;47.43;5.914536582;12.60843986;17.09066436;10.55797871;18.52297645;3.388665419;0.319822594;12.71092199;5.812054452;;;;;;
B39;Insect;July;Eng;0.334813823;0.004891004;3.691688451;2.682847924;4.369070346;6.629939971;1.493177447;2.901490223;0.634262574;1.489257914;5.117776983;0.032232016;33.01;6.83538509;11.65887021;7.841119793;5.953495331;18.4942553;2.776802717;0.495995682;8.83094964;9.663305667;;;;;;
B43;Insect;July;Ger;4.956358755;0.06531178;23.37373588;5.238005709;14.41305015;7.968999817;0.368943343;5.112123301;0.675505582;0.786404591;3.304055139;0;90.12;4.149435687;14.12557204;36.25134987;33.52108988;18.27500773;10.92909874;0.458543908;9.15065998;9.12434775;;;;;;
B44;Insect;July;Ger;7.352277912;0.059879841;29.44876321;7.138239674;17.75480376;11.80202347;0.423802225;5.460752797;0.615324929;1.462903946;4.493070642;0;110.64;6.93711697;18.30190342;47.19912235;35.58521804;25.23902039;12.06213464;0.653243549;11.10517902;14.13384135;;;;;;
B31;Insect;July;Herr;0.489834576;0;5.05627657;2.119197626;5.409699201;3.181956022;0.096239685;3.733460412;0.34679763;0.519465428;2.669619618;0.025868614;26.3;3.319024256;7.358453749;8.444418185;6.744038792;10.67747801;2.539817306;0.30055299;6.866890858;3.810587147;;;;;;
B33;Insect;July;Herr;0.735985977;0.018648477;5.760896889;2.795319486;4.558388001;5.47461183;0.186177176;5.948680778;0.275271271;0.954672976;5.693708067;0.130620378;36.52;6.999671845;11.88474105;10.43479316;6.455508142;18.8844129;2.674616201;0.370568806;12.24038346;6.644029438;;;;;;
B28;Insect;July;Jag;0.874834027;0;6.239883085;3.108571206;4.942059381;5.901230081;0.397083488;5.680796219;0.648818386;1.284252361;6.002857431;0.182861845;38.82;7.614639007;12.62792817;11.52138764;6.618794031;20.24256719;2.465876195;0.391812617;12.62509225;7.617474936;;;;;;
B30;Insect;July;Jag;1.376931022;0;7.815192974;2.77311108;3.949712124;5.263912004;0.346128436;7.323293437;0.572756835;0.412500217;3.842875824;0.027634634;39.32;4.440802874;13.50609071;12.75455738;7.822803834;17.94689359;1.596491301;0.393483752;11.90671807;6.04017552;;;;;;
B52;Insect;July;Kieb;0.745275871;0;6.245341923;2.859549359;5.397370532;8.686815017;0.235760297;6.456602802;0.24592468;1.933742707;4.924692429;0;42.45;7.01569633;15.6251028;11.15060232;8.169483768;22.64079913;3.753682825;0.528708947;11.69688549;10.94391364;;;;;;
